Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2019-12-16 00:00;2020;Rolls Royce;20RR001;Cullinan;3540000;Bensin;;
Personbil;2019-12-16 00:00;2020;Rolls Royce;20RR002;Cullinan Black Badge;4120000;Bensin;;
Personbil;2019-12-16 00:00;2020;Rolls Royce;20RR003;Dawn;3780000;Bensin;;
Personbil;2019-12-16 00:00;2020;Rolls Royce;20RR004;Dawn Black Badge;4350000;Bensin;;
Personbil;2019-12-16 00:00;2020;Rolls Royce;20RR005;Phantom EWB;5945000;Bensin;;
Personbil;2019-12-16 00:00;2020;Rolls Royce;20RR006;Phantom SWB;4960000;Bensin;;
Personbil;2019-12-16 00:00;2020;Rolls Royce;20RR007;Wraith;3370000;Bensin;;
Personbil;2019-12-16 00:00;2020;Rolls Royce;20RR008;Wraith Black Badge;3950000;Bensin;;
Personbil;2019-12-16 00:00;2020;Seat;20SE001;Alhambra 2.0 TDI 177 DSG7 4Drive Swedish Edition;429900;Diesel;;
Personbil;2019-12-16 00:00;2020;Seat;20SE002;Arona 1.0 TGI 90 FR, miljöbil;205900;Gas;20SE007;
Personbil;2019-12-16 00:00;2020;Seat;20SE003;Arona 1.0 TGI 90 Style, miljöbil;195900;Gas;20SE007;
Personbil;2019-12-16 00:00;2020;Seat;20SE004;Arona 1.0 TSI 115 FR;198900;Bensin;;
Personbil;2019-12-16 00:00;2020;Seat;20SE005;Arona 1.0 TSI 115 Style DSG;199900;Bensin;;
Personbil;2019-12-16 00:00;2020;Seat;20SE006;Arona 1.0 TSI 115 Xcellence DSG;208900;Bensin;;
Personbil;2019-12-16 00:00;2020;Seat;20SE007;Arona 1.0 TSI 95 Style;174900;Bensin;;
Personbil;2019-12-16 00:00;2020;Seat;20SE008;Arona 1.6 TDI 95 Style;222900;Diesel;;
Personbil;2019-12-16 00:00;2020;Seat;20SE009;Ateca 1.0 TSI 115 Style;229900;Bensin;;
Personbil;2019-12-16 00:00;2020;Seat;20SE010;Ateca 1.5 TSI 150 EVO DSG7 Style;267900;Bensin;;
