"","Marke","Modell","Tillverkningsar","Nybilspris","BransleTyp"
"1","Abarth","500C Competizione 160 hk",2013,240000,"Bensin"
"2","Abarth","500C Custom 135 hk",2013,190000,"Bensin"
"3","Abarth","500 Competizione 160 hk",2013,220000,"Bensin"
"4","Abarth","500C Turismo 160 hk",2013,225000,"Bensin"
"5","Abarth","500 Custom 135 hk",2013,170000,"Bensin"
"6","Abarth","500 Turismo 160 hk",2013,205000,"Bensin"
"7","Alfa Romeo","Giulietta Distinctive 1.4 MultiAir Turbo 170 hk",2013,223000,"Bensin"
"8","Alfa Romeo","Giulietta Distinctive 1.4 TB 120 hk",2013,202000,"Bensin"
"9","Alfa Romeo","Giulietta Distinctive 2.0 JTDm 140 hk",2013,243000,"Diesel"
"10","Alfa Romeo","Giulietta Distinctive 2.0 JTDm 170 hk",2013,268000,"Diesel"
"11","Alfa Romeo","Giulietta Progression 1.4 TB 120 hk",2013,196000,"Bensin"
"12","Alfa Romeo","Giulietta Progression 1.6 JTDm 105 hk",2013,226000,"Diesel"
"13","Alfa Romeo","Giulietta QV 1750 Tbi 235 hk",2013,273000,"Bensin"
"14","Alfa Romeo","Giulietta Veloce 1.4 120 hk",2013,224900,"Bensin"
"15","Alfa Romeo","Giulietta Veloce 1.4 MultiAir Turbo 170 hk TCT",2013,254900,"Bensin"
"16","Alfa Romeo","Giulietta Veloce 1.6 JTDm 105 hk",2013,239900,"Diesel"
"17","Alfa Romeo","Giulietta Veloce 2.0 JTDm 170 hk TCT",2013,289900,"Diesel"
"18","Alfa Romeo","MiTo 1.4 M-Air 135 hk S&S Distinctive",2013,176990,"Bensin"
"19","Alfa Romeo","MiTo 1.4 M-Air 170 hk S&S QV",2013,209990,"Bensin"
"20","Alfa Romeo","MiTo 1.6 JTDm 120 hk S&S Distinctive",2013,199990,"Diesel"
"21","Audi","A1 1.2 TFSI",2013,158000,"Bensin"
"22","Audi","A1 1.2 TFSI Sports Edition",2013,172000,"Bensin"
"23","Audi","A1 1.2 TFSI Sport Sports Edition",2013,185800,"Bensin"
"24","Audi","A1 1.4 TFSI",2013,178600,"Bensin"
"25","Audi","A1 1.4 TFSI COD",2013,194600,"Bensin"
"26","Audi","A1 1.4 TFSI COD Sports Edition",2013,208600,"Bensin"
"27","Audi","A1 1.4 TFSI COD Sport Sports Edition",2013,222400,"Bensin"
"28","Audi","A1 1.4 TFSI Sports Edition",2013,192600,"Bensin"
"29","Audi","A1 1.4 TFSI Sport Sports Edition",2013,206400,"Bensin"
"30","Audi","A1 1.4 TFSI Sport S-tronic 185 hk Sports Edition",2013,259000,"Bensin"
"31","Audi","A1 1.4 TFSI S-tronic 185 hk",2013,247500,"Bensin"
"32","Audi","A1 1.6 TDI 105 hk",2013,185000,"Diesel"
"33","Audi","A1 1.6 TDI 105 hk Sports Edition",2013,199000,"Diesel"
"34","Audi","A1 1.6 TDI 105 hk Sport Sports Edition",2013,212800,"Diesel"
"35","Audi","A1 1.6 TDI 90 hk",2013,179000,"Diesel"
"36","Audi","A1 1.6 TDI 90 hk Sports Edition",2013,193000,"Diesel"
"37","Audi","A1 1.6 TDI 90 hk Sport Sports Edition",2013,206800,"Diesel"
"38","Audi","A1 Sportback 1.2 TFSI",2013,165000,"Bensin"
