Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI501;Berlingo Transport BlueHDi 100;168600;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI502;Berlingo Transport Electric 67 hk, miljöbil;312300;El;17CI503;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI503;Berlingo Transport HDi 75;149800;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI504;Jumper HDi 110;249800;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI505;Jumper HDi 130;290500;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI506;Jumper HDi 150;315500;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI507;Jumpy BlueHDi 120;262300;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI508;Jumpy BlueHDi 150;291100;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI509;Jumpy BlueHDi 180;312300;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI510;Jumpy BlueHDi 95;237300;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI511;Jumpy HDi 125;256100;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Citroën;17CI512;Jumpy HDi 160;268600;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Dacia;17DC501;Dokker van 1.2 TCe Ambiance;112300;Bensin;;
LattLastbil;2017-11-06 00:00:00;2017;Dacia;17DC502;Dokker van 1.5 dCi Ambiance;114800;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Dacia;17DC503;Dokker Van 1.6;93600;Bensin;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI501;Dobló Chassi 1.3MJT 95 hk E6;170100;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI502;Dobló Chassi 1.6 MJT 105 hk E6;188900;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI503;Dobló Chassi 1.6 MJT 120 hk E6;201400;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI504;Dobló Combi 1.3 MultiJet 95 hk E6;188600;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI505;Dobló Combi 1.4 T-Jet 120 hk E6;191800;Bensin;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI506;Dobló Combi 1.6 MultiJet 105 hk E6;207400;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI507;Dobló Combi 1.6 MultiJet 120 hk E6;219900;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI508;Dobló Skåp 1.3 MJT 80 hk E6;177400;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI509;Dobló Skåp 1.3 MJT 95 hk E6;184900;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI510;Dobló Skåp 1.4 Fire 95 hk E6;169300;Bensin;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI512;Dobló Skåp 1.4T CNG 120 hk E6, miljöbil;223600;Gas;17FI511;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI511;Dobló Skåp 1.4 T-Jet 120 hk E6;188000;Bensin;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI513;Dobló Skåp 1.6 MJT 105 hk E6;203600;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI514;Dobló Skåp 1.6 MJT 120 hk E6;216100;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI515;Dobló Work-Up 1.3 MJT 95 hk E6;214600;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI516;Dobló Work-Up 1.6 MJT 105 hk E6;233400;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI517;Dobló Work-Up 1.6 MJT 120 hk E6;245900;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI518;Ducato Bussbas L3H2 2.3 MultiJet 130 hk E6;319300;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI519;Ducato Chassi DubbelHytt 2.3 MultiJet 130 hk E6;311100;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI520;Ducato Chassi DubbelHytt 2.3 MultiJet 150 hk E6;323600;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI521;Ducato Chassi EnkelHytt 2.0 MultiJet 115 hk E6;267400;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI522;Ducato Chassi EnkelHytt 2.3 MultiJet 130 hk E6;292400;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI523;Ducato Chassi EnkelHytt 2.3 MultiJet 150 hk E6;304900;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI524;Ducato Chassi EnkelHytt 2.3 MultiJet 180 hk E6;329900;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI525;Ducato Chassi Maxi DubbelHytt 2.3 MultiJet 130 hk E6;329900;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI526;Ducato Chassi Maxi DubbelHytt 2.3 MultiJet 150 hk E6;342400;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI527;Ducato Chassi Maxi DubbelHytt 2.3 MultiJet 180 hk E6;348600;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI528;Ducato Chassi Maxi Enkelhytt 2.3 MultiJet 130 hk E6;317400;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI529;Ducato Chassi Maxi EnkelHytt 2.3 MultiJet 150 hk E6;329900;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI530;Ducato Chassi Maxi EnkelHytt 2.3 MultiJet 180 hk E6;342400;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI531;Ducato Combi 2.3 MultiJet 150 hk E6;320000;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI532;Ducato Combi Maxi 2.3 MultiJet 150 hk E6;332500;Diesel;;
LattLastbil;2017-11-06 00:00:00;2017;Fiat;17FI533;Ducato Halvglasat Skåp 2.3 MultiJet 130hk E6;304900;Diesel;;
