Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2019-11-04 00:00;2019;Seat;19SE001;Alhambra 1.4 TSI 150 Style;291900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE002;Alhambra 2.0 TDI 150 4Drive Xcellence;342900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE003;Alhambra 2.0 TDI 177 DSG7 4Drive Xcellence;370900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE004;Alhambra 2.0 TDI 177 DSG7 4Drive Xcellence Swedish Edition;379900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE005;Arona 1.0 TGI 90 FR, miljöbil;184900;Gas;19SE010;12000
Personbil;2019-11-04 00:00;2019;Seat;19SE006;Arona 1.0 TGI 90 Style, miljöbil;169900;Gas;19SE010;
Personbil;2019-11-04 00:00;2019;Seat;19SE007;Arona 1.0 TSI 115 FR;184900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE008;Arona 1.0 TSI 115 Style;172900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE009;Arona 1.0 TSI 115 Xcellence;184900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE010;Arona 1.0 TSI 95 Style;164900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE011;Arona 1.5 TSI 150 FR;195900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE012;Arona 1.6 TDI 95 Style;212900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE013;Arona 1.6 TDI 95 Xcellence;201900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE014;Ateca 1.0 TSI 115 Style;214900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE015;Ateca 1.5 TSI 150 EVO 4Drive DSG7 FR;295900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE016;Ateca 1.5 TSI 150 EVO DSG7 4Drive Style;262900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE017;Ateca 1.5 TSI 150 EVO DSG7 4Drive Xcellence;295900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE018;Ateca 1.5 TSI 150 EVO DSG7 Style;253900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE019;Ateca 1.5 TSI 150 EVO FR;269900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE020;Ateca 1.5 TSI 150 EVO Xcellence;269900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE021;Ateca 1.6 TDI 115 Style;247900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE022;Ateca 2.0 TDI 150 FR;297900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE023;Ateca 2.0 TDI 190 4Drive DSG7 FR;337900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE024;Ateca 2.0 TSI 190 4Drive DSG7 FR;309900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE025;Cupra Ateca 2.0 TSI 300 4Drive DSG7 Cupra;409900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE026;Ibiza 1.0 MPI 80 Style;139900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE027;Ibiza 1.0 TGI 90 FR, miljöbil;189900;Gas;19SE032;
Personbil;2019-11-04 00:00;2019;Seat;19SE028;Ibiza 1.0 TGI 90 Style, miljöbil;178900;Gas;19SE033;
Personbil;2019-11-04 00:00;2019;Seat;19SE029;Ibiza 1.0 TSI 115 FR;165900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE030;Ibiza 1.0 TSI 115 Style DSG;169900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE031;Ibiza 1.0 TSI 115 Xcellence;165900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE032;Ibiza 1.0 TSI 95 FR;159900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE033;Ibiza 1.0 TSI 95 Style;149900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE034;Ibiza 1.0 TSI 95 Xcellence;159900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE035;Leon 1.0 Ecomotive 115 DSG7 Style;196900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE081;Leon 1.0 TSI 115 FR;215900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE082;Leon 1.0 TSI 115 FR Edition;205900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE036;Leon 1.0 TSI 115 Style;174900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE038;Leon 1.5 TGI 130 FR, miljöbil;224900;Gas;19SE036;35000
Personbil;2019-11-04 00:00;2019;Seat;19SE037;Leon 1.5 TGI 130 FR Edition, miljöbil;237900;Gas;19SE036;26000
Personbil;2019-11-04 00:00;2019;Seat;19SE039;Leon 1.5 TGI 130 Style, miljöbil;189900;Gas;19SE036;
Personbil;2019-11-04 00:00;2019;Seat;19SE040;Leon 1.5 TSI EVO 130 FR;217900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE041;Leon 1.5 TSI EVO 130 FR Edition;204900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE079;Leon 1.5 TSI EVO 130 Style;188900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE042;Leon 1.5 TSI EVO 150 FR;228900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE083;Leon 1.5 TSI EVO 150 FR DSG;250900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE043;Leon 1.5 TSI EVO 150 FR Edition;215900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE044;Leon 1.6 TDI 115 Style;197900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE045;Leon 2.0 TDI 150 FR;248900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE046;Leon 2.0 TDI 150 FR Edition;235900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE047;Leon 2.0 TDI 184 DSG7 FR;276900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE048;Leon 2.0 TDI 184 DSG7 FR Edition;263900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE049;Leon 2.0 TSI 290 DSG7 Cupra;319900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE050;Leon 2.0 TSI BZ 190 DSG7 FR;265900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE051;Leon 2.0 TSI BZ 190 DSG7 FR Edition;252900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE052;Leon ST 1.0 Ecomotive 115 DSG7 Style;204900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE053;Leon ST 1.0 TSI 115 Style;182900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE055;Leon ST 1.5 TGI 130 FR, miljöbil;232900;Gas;19SE053;35000
Personbil;2019-11-04 00:00;2019;Seat;19SE054;Leon ST 1.5 TGI 130 FR Edition, miljöbil;251900;Gas;19SE053;28500
Personbil;2019-11-04 00:00;2019;Seat;19SE056;Leon ST 1.5 TGI 130 Style, miljöbil;217900;Gas;19SE053;
Personbil;2019-11-04 00:00;2019;Seat;19SE057;Leon ST 1.5 TSI EVO 130 FR;225900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE058;Leon ST 1.5 TSI EVO 130 FR Edition;214900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE080;Leon ST 1.5 TSI Evo 130 Style;196900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE059;Leon ST 1.5 TSI EVO 150 FR;236900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE060;Leon ST 1.5 TSI EVO 150 FR Edition;225900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE061;Leon ST 1.6 TDI 115 4Drive X-Perience;239900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE062;Leon ST 1.6 TDI 115 4Drive X-Perience Swedish Edition;229900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE063;Leon ST 1.6 TDI 115 Style;205900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE064;Leon ST 2.0 TDI 150 DSG7 4Drive FR;276900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE065;Leon ST 2.0 TDI 150 DSG7 4Drive FR Edition;265900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE066;Leon ST 2.0 TDI 150 FR;256900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE067;Leon ST 2.0 TDI 150 FR Edition;245900;Diesel;;
Personbil;2019-11-04 00:00;2019;Seat;19SE068;Leon ST 2.0 TSI 190 DSG7 4Drive X-Perience;279900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE069;Leon ST 2.0 TSI 190 DSG7 4Drive X-Perience Swedish Edition;269900;Bensin;;
Personbil;2019-11-04 00:00;2019;Seat;19SE070;Leon ST 2.0 TSI 300 4Drive DSG7 Cupra;337900;Bensin;;
