Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2016-11-14 00:00:00;2016;Audi;16AU013;A1 Sportback 1.4 TFSI Sport 125hk;203200;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU318;A1 Sportback 1.4 TFSI Sport 125 hk Proline;220300;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU014;A1 Sportback 1.4 TFSI Sport 125hk Sports Edition;215600;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU015;A1 Sportback 1.4 TFSI Sport 150hk;227600;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU319;A1 Sportback 1.4 TFSI Sport 150 hk Proline;244900;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU016;A1 Sportback 1.4 TFSI Sport 150hk Sports Edition;240000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU017;A1 Sportback 1.6 TDI 116hk;201300;Diesel;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU320;A1 Sportback 1.6 TDI 116 hk Proline;218900;Diesel;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU018;A1 Sportback 1.6 TDI 116hk Sports Edition;214700;Diesel;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU019;A1 Sportback 1.6 TDI Sport 116hk;218600;Diesel;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU321;A1 Sportback 1.6 TDI Sport 116 hk Proline;235800;Diesel;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU020;A1 Sportback 1.6 TDI Sport 116hk Sports Edition;231000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU322;A1 Sportback 1.8 TFSI Sport 192 hk S tronic Proline;272100;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU021;A3 Cabriolet 1.4 TFSI 125hk;276400;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU022;A3 Cabriolet 1.4 TFSI 125hk metro;290600;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU023;A3 Cabriolet 1.4 TFSI Sport 125hk;292900;Bensin;;
Personbil;2016-11-14 00:00:00;2016;Audi;16AU024;A3 Cabriolet 1.4 TFSI Sport 125hk metro;304400;Bensin;;
