Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW505;CADDY MAXI SKÅP eu6 tdi 150hk;273700;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW506;CADDY MAXI SKÅP eu6 tdi 150hk dsg/4m;311700;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW507;CADDY MAXI SKÅP eu6 tgi 110hk, miljöbil;269500;Gas;18VW509;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW508;CADDY MAXI SKÅP eu6 tsi 102hk 3cyl;220500;Bensin;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW509;CADDY MAXI SKÅP eu6 tsi 125hk;232300;Bensin;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW519;CADDYSKåP Alltrack skåp eu6 tdi 122hk 4m;257900;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW520;CADDYSKåP Alltrack skåp eu6tdi 150hk dsg/4m;306200;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW510;CADDY SKÅP eu6 tdi 102hk;220800;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW511;CADDY SKÅP eu6 tdi 122hk 4m;240600;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW512;CADDY SKÅP eu6 tdi 150hk;243300;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW513;CADDY SKÅP eu6 tdi 150hk dsg/4m;291200;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW514;CADDY SKÅP eu6 tdi 75hk prolin;187500;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW515;CADDY SKÅP eu6 tgi 110hk cng, miljöbil;232500;Gas;18VW517;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW516;CADDY SKÅP eu6 tsi 102 hk 3cyl;198300;Bensin;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW517;CADDY SKÅP eu6 tsi 125 hk;206200;Bensin;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW518;CADDY SKÅP eu6 tsi 84hk;167000;Bensin;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW521;CRAFTER CHASSI crafter 35 dh   140 hk man 363;357800;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW522;CRAFTER CHASSI crafter 35 dh   140 hk man 448;365900;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW523;CRAFTER CHASSI crafter 35 dh   177 hk man 363;378300;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW524;CRAFTER CHASSI crafter 35 dh   177 hk man 448;386500;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW525;CRAFTER CHASSI crafter 35 eh 140 hk man 363;322500;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW526;CRAFTER CHASSI crafter 35 eh 140 hk man 448;331500;Diesel;;
